Date,Open,High,Low,Close,Volume
2008-01-04,6136.75,6300.0498046875,6060.85009765625,6274.2998046875,0
2008-01-11,6271.0,6357.10009765625,6112.5498046875,6200.10009765625,0
2008-01-18,6208.7998046875,6260.4501953125,5677.0,5705.2998046875,0
2008-01-25,5705.0,5705.0,4448.5,5383.35009765625,0
2008-02-01,5380.9501953125,5391.60009765625,5071.0,5317.25,0
2008-02-08,5315.5498046875,5545.2001953125,5034.25,5120.35009765625,0
2008-02-15,5120.5498046875,5315.39990234375,4803.60009765625,5302.89990234375,0
2008-02-22,5304.4501953125,5368.4501953125,5092.7998046875,5110.75,0
2008-02-29,5112.25,5368.14990234375,5055.14990234375,5223.5,0
2008-03-07,5222.7998046875,5222.7998046875,4672.25,4771.60009765625,0
2008-03-14,4767.7998046875,5019.2001953125,4580.14990234375,4745.7998046875,0
2008-03-21,4745.4501953125,4745.4501953125,4468.5498046875,4573.9501953125,0
2008-03-28,4576.7998046875,4970.7998046875,4539.7998046875,4942.0,0
2008-04-04,4942.14990234375,4947.0,4628.75,4647.0,0
2008-04-11,4631.35009765625,4817.39990234375,4628.7998046875,4777.7998046875,0
2008-04-18,4779.9501953125,4984.9501953125,4708.2998046875,4958.39990234375,0
2008-04-25,4955.89990234375,5117.7001953125,4955.89990234375,5111.7001953125,0
2008-05-02,5112.5,5298.85009765625,5079.14990234375,5228.2001953125,0
2008-05-09,5227.25,5254.5,4969.39990234375,4982.60009765625,0
2008-05-16,4981.0,5167.39990234375,4913.7998046875,5157.7001953125,0
2008-05-23,5157.0,5160.0498046875,4940.7001953125,4946.5498046875,0
2008-05-30,4953.60009765625,4957.39990234375,4801.89990234375,4870.10009765625,0
2008-06-06,4869.25,4908.7998046875,4536.25,4627.7998046875,0
2008-06-13,4626.4501953125,4626.4501953125,4369.7998046875,4517.10009765625,0
2008-06-20,4536.2998046875,4679.75,4333.60009765625,4347.5498046875,0
2008-06-27,4351.14990234375,4351.14990234375,4093.199951171875,4136.64990234375,0
2008-07-04,4136.25,4163.0,3848.25,4016.0,0
2008-07-11,4002.0,4215.5,3896.050048828125,4049.0,0
2008-07-18,4047.449951171875,4118.10009765625,3790.199951171875,4092.25,0
2008-07-25,4092.199951171875,4539.4501953125,4072.75,4311.85009765625,0
2008-08-01,4282.25,4422.9501953125,4159.14990234375,4413.5498046875,0
2008-08-08,4426.10009765625,4615.89990234375,4362.89990234375,4529.5,0
2008-08-15,4529.35009765625,4649.85009765625,4421.25,4430.7001953125,0
2008-08-22,4430.7001953125,4447.39990234375,4248.0,4327.4501953125,0
2008-08-29,4317.9501953125,4398.7998046875,4201.85009765625,4360.0,0
2008-09-05,4356.10009765625,4522.39990234375,4281.35009765625,4352.2998046875,0
2008-09-12,4358.2998046875,4558.0,4200.14990234375,4228.4501953125,0
2008-09-19,4231.9501953125,4262.64990234375,3799.550048828125,4245.25,0
2008-09-26,4248.9501953125,4303.25,3970.35009765625,3985.25,0
2008-10-03,3990.199951171875,4000.5,3715.050048828125,3818.300048828125,0
2008-10-10,3817.300048828125,3820.85009765625,3198.949951171875,3279.949951171875,0
2008-10-17,3272.89990234375,3648.25,3046.60009765625,3074.35009765625,0
2008-10-24,3108.199951171875,3254.85009765625,2525.050048828125,2584.0,0
2008-10-31,2583.75,2921.35009765625,2252.75,2885.60009765625,0
2008-11-07,2885.39990234375,3240.550048828125,2860.10009765625,2973.0,0
2008-11-14,2973.300048828125,3161.25,2778.800048828125,2810.35009765625,0
2008-11-21,2813.39990234375,2835.699951171875,2502.89990234375,2693.449951171875,0
2008-11-28,2690.85009765625,2790.699951171875,2633.800048828125,2755.10009765625,0
2008-12-05,2755.14990234375,2832.85009765625,2570.699951171875,2714.39990234375,0
2008-12-12,2714.699951171875,2945.300048828125,2714.699951171875,2921.35009765625,0
2008-12-19,2917.89990234375,3106.800048828125,2917.89990234375,3077.5,0
2008-12-26,3077.25,3110.449951171875,2844.800048828125,2857.25,0
2009-01-02,2857.14990234375,3079.85009765625,2812.89990234375,3046.75,0
2009-01-09,3058.75,3147.199951171875,2810.25,2873.0,0
2009-01-16,2868.85009765625,2869.199951171875,2701.75,2828.449951171875,0
2009-01-23,2828.699951171875,2868.199951171875,2661.64990234375,2678.550048828125,0
2009-01-30,2686.050048828125,2881.0,2685.25,2874.800048828125,0
2009-02-06,2872.35009765625,2873.449951171875,2752.89990234375,2843.10009765625,0
2009-02-13,2843.050048828125,2969.75,2840.14990234375,2948.35009765625,0
