Date,Close,High,Low,Open,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di
2008-05-28,6780.8212890625,6837.320634038763,6557.57387727576,6594.973346029708,0,7208.749043700631,7453.640270265394,7981.270464357606,37.4107890262897,6.3290482520800495,-145.40531698707855,-45.231861921175316,-100.17345506590323,0.08296513127636364,19.684930311086042,0,0.0,19.212405473933195,17.44123291100494,39.16052720886554
2008-05-29,6576.67333984375,6847.820081599994,6526.423925569656,6826.420428698576,0,7148.551357619023,7419.249410248859,7953.456659911787,33.7643272795751,-3.6464617467146,-176.77147796699046,-71.53978513033834,-105.23169283665212,0.0229274264687024,21.52267717886501,0,0.0,20.661269845241353,15.7336611551194,36.2754387819332
2008-05-30,6584.2734375,6651.422558032041,6502.374488699002,6608.523155162524,0,7094.810603321973,7386.505254454786,7926.344120854128,34.02215626907021,0.2578289894951098,-198.72534014144185,-96.97689613255905,-101.7484440088828,0.08725488480391891,23.063559401993615,0,0.0,22.071221996705507,15.000212764073847,35.336578396411106
2008-06-02,6347.076171875,6677.072338492291,6306.176744637245,6577.223400725853,0,7023.597800327023,7345.743329647737,7895.071488201076,30.085943070856644,-3.936213198213565,-232.58270246311895,-124.09805739867103,-108.48464506444792,0.017667307178428918,24.579474418447774,0,0.0,23.874488809049655,13.334410013507766,37.28685006456519
2008-06-03,6301.126953125,6338.426324257113,6190.528141032268,6265.577073376136,0,6954.7910529744495,7304.777981548806,7863.508230080758,29.376894798721636,-0.7090482721350071,-260.12407555032405,-151.30326102900165,-108.8208145213224,0.05050853196785912,25.676502814196883,0,0.0,25.807141345623563,12.693652961088356,39.044978226341556
2008-06-04,6113.57861328125,6350.876139177026,6074.978965726792,6311.176406794159,0,6874.675582527478,7258.064280832431,7828.856158460965,26.619310764831027,-2.757584033890609,-293.69881860560963,-179.78237254432327,-113.91644606128636,0.016879034510655498,27.19241259220041,0,0.0,27.842709163425862,11.632726161331542,39.282031581624864
2008-06-05,6211.7275390625,6238.727224955166,5974.03059733574,6151.278535279262,0,6811.537673626051,7217.031467429689,7796.833809561985,30.30631233446215,3.6870015696311214,-308.827277705057,-205.59135357647,-103.23592412858699,0.11107011882266765,27.695823443658767,0,0.0,29.931174028986938,10.708039477668502,39.19104339169805
2008-06-06,6139.978515625,6308.626948134248,6113.779112785509,6205.477755137098,0,6747.579658578332,7174.794096770682,7764.024793840461,29.153145654154002,-1.1531666803081464,-322.8842286958761,-229.04992860035122,-93.8343000955249,0.12046926862398406,28.77307935671485,0,0.0,31.384183220214187,12.199868707102242,36.86781272371577
2008-06-09,5949.130859375,5987.680214777426,5802.932367976853,5960.83043005008,0,6671.536915797063,7126.728871774773,7728.086300088669,26.287849182429085,-2.8652964717249176,-345.4422314955682,-252.3283891793946,-93.11384231617359,0.08426723184381413,30.874761858223998,0,0.0,33.343923312466806,10.9866244326083,42.37311188417429
2008-06-10,5814.28271484375,5949.531147424307,5702.43391342423,5910.231309908742,0,6589.893658563414,7075.260395032381,7690.18919939075,24.458656058712677,-1.8291931237164079,-369.9363337485829,-275.84997809323227,-94.08635565535064,0.08020954494832576,33.00349760748929,0,0.0,35.32977215646884,10.186801013775787,42.249243906599766
2008-06-11,5971.1806640625,5988.530560255859,5853.682028428865,5857.481788994444,0,6530.968611468088,7031.963150680621,7656.149426413953,30.51682186874669,6.058165810034012,-372.394995305448,-295.1589815356754,-77.23601376977257,0.18546932571634203,33.774259005227854,0,0.0,36.90841411974395,10.825678676093112,40.03582876511327
