Date,Open,High,Low,Close,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di,future_4w_return,is_risk,close_vs_ema50,close_vs_ema100,ema20_vs_ema50,ema50_vs_ema100,weekly_return,realized_vol_8w,realized_vol_20w,vol_ratio,risk_proba,buy_hold_return,strategy_return
2018-06-01,26291.34553743591,27164.235865855204,25980.547009699912,26692.490234375,0,25504.95512708297,24623.385845136192,22896.133887069387,61.5301027632485,2.745245429601105,339.4358969866553,202.6627608839862,136.77313610266907,0.8156221203286879,15.034266994068734,17.331146157983447,0.0,17.61440679185636,32.20538823842824,19.186827333760245,-0.012310490829620213,0,0.08403005184794732,0.1658077457980629,0.03580211460321614,0.07543858568377226,0.015957074323021292,0.016290029644414904,0.02406527610651856,0.676910149391655,0.09237868596185098,-0.012310490829620213,-0.012310490829620213
2018-06-08,27023.385641012905,27047.236926744023,26069.24819977677,26451.04296875,0,25595.058731051264,24695.0586735132,22966.528126310583,59.08908139421122,-2.44102136903728,373.5093615172773,236.8320810106445,136.67728050663283,0.7667537532913477,14.586721086169346,17.331146157983447,0.0,18.165647446034523,29.435484838979104,17.5366171930543,0.0016066680971789093,0,0.0711067067485931,0.15172144536933896,0.036444540158285355,0.07526303225703512,-0.009045512932849609,0.017334233207424662,0.021924177359056045,0.790644635077473,0.07045582257490392,0.0016066680971789093,0.0016066680971789093
2018-06-15,26472.89235036695,26765.13724229223,26344.64341910376,26417.09375,0,25673.347780474956,24762.58946082641,23034.85615846285,58.736237795488265,-0.3528435987229557,393.2403791094439,268.1137406304044,125.12663847903951,0.7995007617180351,13.247586455021793,17.331146157983447,0.0,18.67751376777139,28.30813727063365,16.86498352173066,0.019629069482709482,0,0.06681467185776202,0.14683128769156806,0.03677960744329001,0.07500517001183016,-0.0012834737288094367,0.016391498949444354,0.021384011976267922,0.7665305728240199,0.3337460733250576,0.019629069482709482,0.019629069482709482
2018-06-22,26443.99373423704,26806.23977376514,26224.44578810749,26766.5390625,0,25777.46123590591,24841.17571971557,23108.750869433887,61.29802056464084,2.561782769152572,432.093761079268,300.9097447201771,131.1840163590909,0.888439476568242,13.586531137544773,17.331146157983447,0.0,18.925113865513016,26.77990301981292,17.069850756232814,0.003973156783612541,0,0.07750693302557066,0.15828584650606525,0.037690869657479364,0.07496834684271825,0.013227999862778228,0.01602294206499817,0.01999340146402507,0.801411510384008,0.08924214853230815,0.003973156783612541,0.003973156783612541
2018-06-29,26717.840539162407,26804.58953311917,26160.69526505589,26363.892578125,0,25833.311839926777,24900.89010631986,23173.20912109113,56.913537150799804,-4.384483413841032,425.4903520618427,325.82586618851025,99.66448587333248,0.7518477817328945,13.93916932803599,17.331146157983447,0.0,19.03009144176927,25.160944958278296,16.63644989973783,0.04817905763483177,0,0.05875301909122621,0.13768845913231176,0.037445317401335165,0.07455510267053511,-0.015042904255750722,0.017658646492630627,0.018306913444380762,0.9645889541281948,0.3810790031857016,0.04817905763483177,0.04817905763483177
2018-07-06,26364.14297300054,26609.539664485943,26060.296893100047,26493.541015625,0,25896.19080904089,24963.347004723983,23238.958267517548,57.95633612520922,1.0427989744094148,425.8101736058925,345.8227276719867,79.9874459339058,0.7625179217232759,14.279823777916134,17.331146157983447,0.0,18.923663586827622,23.83716536409891,16.722890421897556,0.04535583665623699,0,0.06129763010590872,0.1400485645975178,0.037368538927908146,0.07420249726153672,0.004917651561346936,0.014205127654615507,0.018029256618354944,0.7878931425355482,0.45051200704721417,0.04535583665623699,0.04535583665623699
2018-07-13,26642.04035039864,27164.484719590306,26611.241879780173,26935.63671875,0,25995.185657584618,25040.691699391675,23312.1598210073,61.38807980807768,3.4317436828684578,456.47510214631984,367.9532025668533,88.52189957946655,0.843529152251801,14.973051647467136,17.331146157983447,0.0,19.553346947122527,27.648294351640963,15.640355838398117,0.044115798033013576,0,0.07567462760640753,0.1554329125042062,0.038117715343148006,0.07414722152113695,0.0166869239134273,0.01236630203198809,0.018291194556969006,0.6760795197641418,0.43429394676990235,0.044115798033013576,0.044115798033013576
2018-07-20,26914.18672127893,27186.83433036014,26643.63908917912,26872.88671875,0,26078.776234838464,25112.54248446455,23382.66926452696,60.63160327604566,-0.7564765320320177,470.2926375880052,388.42108957108366,81.87154801692151,0.7946064130456535,15.263823400690663,17.331146157983447,0.0,20.165593688275067,26.391012191250635,14.80477803622651,0.046713920382402074,0,0.0700982083106263,0.14926514226149212,0.03847614199046778,0.07398099850652717,-0.002329627498885878,0.011836969593544227,0.01779199692911824,0.6652974166251083,0.4441040625300822,0.046713920382402074,0.046713920382402074
2018-07-27,26700.98990074353,27660.730159843235,26671.03907758696,27634.080078125,0,26226.90041038956,25211.42631166692,23466.855617271474,66.09043355346311,5.458830277417455,536.4808591225083,418.03304348136857,118.4478156411397,0.9337609570175104,15.593578562708103,17.331146157983447,0.0,21.29170259106278,28.430192202003795,13.400100304746394,0.00724811252296953,0,0.09609348303062748,0.1775791579757482,0.0402783280156076,0.07434190259011308,0.028325701192492003,0.014332775051594991,0.017271970097657244,0.8298286165710231,0.2563435528703311,0.00724811252296953,0.00724811252296953
2018-08-03,27767.32704463625,27873.374637854344,27327.63118522962,27695.177734375,0,26366.736346007223,25308.828328243708,23550.584768105207,66.49205226248081,0.401618709017697,587.0978729700873,451.8460093791124,135.25186359097495,0.9011354526434416,15.808534401418267,17.331146157983447,0.0,22.56558102394488,28.992062259812226,12.68535551122459,0.01322418282571336,0,0.09428920909263172,0.17598683884414013,0.0417999602369159,0.07465816995422148,0.0022109531447136455,0.013338709201020782,0.01729601486242419,0.7712013031394472,0.05160555201659436,0.01322418282571336,0.01322418282571336
