Date,Close,High,Low,Open,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di,label
2008-05-28,4918.350098,4926.899902,4835.649902,4862.700195,0,5002.890299466874,5024.489314592105,5193.37960624643,44.39626030834083,4.373265002084608,-13.827933626664162,17.027928419157995,-30.85586204582216,0.1706456902053156,8.584952498078101,0,0.0,16.294380058443867,16.98809720229086,27.027510216281648,0
2008-05-29,4835.299805,4957.399902,4801.899902,4926.299805,0,4986.929299993838,5017.070118137513,5186.288917112837,39.94686951067696,-4.449390797663874,-25.011033350542675,8.620136065217862,-33.63116941576054,0.0459554874740576,9.089827725768716,0,0.0,17.05877514186903,15.218016301864496,26.47284391572619,1
2008-05-30,4870.100098,4908.850098,4833.450195,4844.049805,0,4975.802709327759,5011.306587936042,5180.027752377929,42.545271584213474,2.598402073536519,-30.71160339801918,0.753788172570454,-31.46539157058963,0.1609518326556076,9.300072327371147,0,0.0,17.768570576478112,14.43274042451102,25.106799529940083,0
2008-02-06,4739.600098,4908.799805,4713.0,4869.25,0,4953.30722253464,5000.651431467962,5171.306412687276,36.21687147862082,-6.3284001055926495,-45.23812861016722,-8.444595183977082,-36.79353342619014,-0.0355584365690376,9.874126052094818,0,0.0,19.38377545169098,12.61263629421502,29.69846966533998,0
2008-03-06,4715.899902,4739.299805,4634.0,4739.299805,0,4930.697001531341,4989.484704822159,5162.288461980597,35.193046773729534,-1.0238247048912896,-57.99438902868587,-18.35455395291884,-39.63983507576703,-0.0059671576653802,10.496936994126902,0,0.0,21.3718753344671,11.75185908572622,32.77724226836766,0
2008-04-06,4585.600098,4731.5,4564.5,4718.700195,0,4897.830629766451,4973.646092789918,5150.868890416626,30.14715914441311,-5.045887629316425,-77.72199179500512,-30.2280415213361,-47.49395027366903,-0.1081240281705634,12.18119360910103,0,0.0,23.58739153229164,10.528161107810591,33.69768454126909,1
2008-05-06,4676.950195,4690.600098,4536.25,4586.950195,0,4876.794397883932,4962.010959543255,5141.484361794514,36.97018013929659,6.823020994883478,-85.00518289915817,-41.18346979690051,-43.82171310225766,0.0952531619488969,12.659536858229597,0,0.0,25.784524168414173,9.539456783228214,32.25192032697453,0
2008-06-06,4627.799805,4746.299805,4614.25,4680.549805,0,4853.080627133081,4948.904639757245,5131.312390372841,34.989851050021,-1.9803290892755852,-93.6634955545578,-51.67947494843197,-41.98402060612584,0.0771716315394959,13.44933273806429,0,0.0,26.939261006664832,12.138773190466818,29.683617246797272,0
2008-09-06,4500.950195,4626.450195,4411.600098,4626.450195,0,4819.544395501359,4931.337798786372,5118.829970662488,30.45565225944384,-4.534198790577165,-109.49874079107305,-63.243328116960186,-46.25541267411285,-0.013224860380688,15.236014849134024,0,0.0,29.003996193681616,10.644234542672647,37.56941285423008,0
2008-10-06,4449.799805,4522.549805,4369.799805,4522.0,0,4784.33062497742,4912.453955892789,5105.581848570162,28.83311554815984,-1.622536711283999,-124.73779605283109,-75.54222170413436,-49.19557434869671,0.0080885386218021,16.95177038205448,0,0.0,31.08047812346449,9.73250161668589,36.69536722420952,1
