Date,Open,High,Low,Close,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di,label
2009-11-27,9256.642779085489,9340.641163459411,8591.65057289892,8944.9462890625,0,8254.336552700808,7253.371945356132,7207.350562545239,62.00975110520115,-3.900217331283344,724.1817025198498,740.7103292023387,-16.528626682488948,0.7328266980180939,37.20703183957582,0.0,0.0,31.29641807245011,29.933373818919215,18.858149975911097,1
2009-12-04,9121.59385513192,9435.790940705656,8988.895206829564,9244.9423828125,0,8348.679965092397,7331.472746825008,7247.698915421819,64.48759371369951,2.477842608498364,715.476840378421,735.6636314375552,-20.18679105913418,0.8001858423688076,36.47705625000721,0.0,0.0,30.82506279552092,29.272900615585897,17.677381011206325,0
2009-12-11,9257.492212787816,9309.641998420786,9054.645023398016,9097.0947265625,0,8419.957561422883,7400.7128244617725,7284.320614652328,62.32993966671353,-2.157654046985982,688.7090944370912,726.2727240374625,-37.563629600371314,0.727961631509132,35.38155881097912,0.0,0.0,30.38737575265809,28.28217300254346,17.079098329074395,0
2009-12-18,9072.74423333337,9131.44374687614,8577.600843649294,8599.8505859375,0,8437.090230424275,7447.737834715723,7310.370713093618,55.59295840555297,-6.736981261160558,620.2224777729489,705.0626747845597,-84.84019701161083,0.5449184318525601,33.89205431011494,0.0,0.0,28.817032217911898,26.20749690908174,22.14467372998276,1
2009-12-25,8600.900489543146,9012.345186372297,8560.051352783341,8967.9951171875,0,8487.652600592202,7507.355767361675,7343.194958719239,59.11628085979055,3.5233224542375794,588.8644646141711,681.823032750482,-92.95856813631087,0.6540038677169315,31.201980226852307,0.0,0.0,27.31897626517624,24.619205054575826,21.037759151384613,1
2010-01-01,8990.245135208666,9093.54515606919,8937.195978164087,9029.3955078125,0,8539.247163184613,7567.043600320531,7376.585068602274,59.690718737178095,0.5744378773875454,562.4835513958787,657.9551364795614,-95.4715850836826,0.6578671990366526,28.751952328230484,0.0,0.0,26.09262942208344,25.22188829598701,20.57359189092082,1
2010-01-08,9031.795853015585,9265.441887227573,9031.795853015585,9160.59375,0,8598.423028595602,7629.53576305306,7411.911973184407,60.953185202287074,1.2624664651089788,545.8706324233335,635.5382356683158,-89.66760324498227,0.6943477338348092,25.5939016872916,0.0,0.0,25.30022109492308,26.87033482022257,19.86112403657231,0
2010-01-15,9209.043532220994,9247.892690804436,8836.597716448978,8910.99609375,0,8628.19189194364,7679.789109354901,7441.596807255013,57.27783632344414,-3.675348878842932,506.72314062235455,609.7752166591235,-103.052076036769,0.5588005814306233,21.85004618419689,0.0,0.0,24.05587995316572,25.230777763611407,21.545098285454,0
2010-01-22,8887.047312336956,9202.39277871404,8659.800133451368,8772.548828125,0,8641.94017157996,7722.642431659611,7467.952292816795,55.286476942951424,-1.9913593804927172,459.2331798096511,579.666809289229,-120.43362947957792,0.4374985589085183,16.57574740962203,0.0,0.0,22.46160109218483,23.21805279472845,22.4256884471694,0
2010-01-29,8724.697912853915,8751.097995164195,8294.503338238,8651.44921875,0,8642.845795119963,7759.066227231784,7491.387875508542,53.53328300251759,-1.7531939404338388,407.1321513047169,545.1598776923266,-138.02772638760973,0.2927419103719814,13.538503280673265,0.0,0.0,21.550465129549934,21.584350963209424,26.224537068835296,0
2010-02-05,8597.350211777743,8718.548840112839,8150.355339439962,8223.154296875,0,8602.875176239491,7777.265759374655,7505.878299694015,47.76429917906915,-5.768983823448437,327.50659786717733,501.6292217272968,-174.12262386011946,-0.0297140967524076,14.227650712231382,0.0,0.0,20.99859450288408,19.800966003998298,26.15389266559712,1
2010-02-12,8279.654044062258,8451.851717048392,8160.85561617317,8381.302734375,0,8581.773038919064,7800.953483884473,7523.21343701443,49.91077698286845,2.1464778037993,274.0054658535246,456.1044705525424,-182.09900469901777,0.1051516573286919,14.48315073341957,0.0,0.0,20.486143206694354,18.93795795738597,25.01399778288848,1
2010-02-19,8441.50143054104,8601.900064170948,8281.953481475046,8487.0009765625,0,8572.747128218438,7827.857307126748,7542.298338787659,51.349682242432834,1.438905259564386,237.3978237284009,412.3631411877141,-174.9653174593132,0.2122909734119071,15.044453638800936,0.0,0.0,19.585962911644145,20.31006212772541,23.786464296777087,1
2010-02-26,8565.20033632125,8851.246549537827,8453.30244776893,8722.6484375,0,8587.02344338811,7862.947155376681,7565.671608069091,54.48865305360569,3.138970811172854,224.80932238061723,374.8523774262948,-150.04305504567753,0.3876757574181781,15.013832504482863,0.0,0.0,18.282119686959188,22.92204604045705,22.3193591477698,1
2010-03-05,8826.797979516545,9095.193672565229,8826.797979516545,9038.3447265625,0,8630.006422738052,7909.041177776125,7594.833451999654,58.36441964070464,3.8757665870989513,237.56835637943917,347.39557321692365,-109.82721683748451,0.6584939780846204,13.583441297424931,0.0,0.0,17.653342157768133,25.4135789410016,21.01272118529086,1
2010-03-12,9102.044455077346,9229.892892085105,9073.394308340556,9172.7939453125,0,8681.700472507047,7958.600109836375,7626.080194441492,59.929498387427685,1.5650787467230458,255.58271264484935,329.0330011025088,-73.45028845765944,0.7717861854450248,13.545732645398278,0.0,0.0,17.372087522643884,26.82359441135208,20.352962890104003,1
2010-03-19,9118.094346963278,9293.991917522351,8986.645877570598,9270.6923828125,0,8737.794940155187,8010.054708776615,7658.646772429037,61.07681197288899,1.1473135854613048,274.5934629935891,318.1450934807249,-43.55163048713575,0.8207386010861923,13.3989897708363,0.0,0.0,16.855555838867165,25.44318369263918,20.75807822161416,1
2010-03-26,9171.0939324886,9473.089645364123,9066.595143285973,9456.08984375,0,8806.203978592788,8066.76196897165,7694.239704534402,63.22430120989853,2.147489237009537,301.14819632743456,314.74571405006685,-13.59751772263229,0.9153812547200936,14.31656239426208,0.0,0.0,16.795268881746352,26.71453598897811,19.34042776444957,1
2010-04-02,9451.990017250557,9587.538671648505,9440.239482374602,9507.6396484375,0,8873.007375720856,8123.266976009527,7730.148614314662,63.82199010972963,0.5976888998311054,322.63353368568823,316.32327797719114,6.310255708497095,0.9144410340925252,15.236664677258377,0.0,0.0,16.99741825802293,28.03802951335936,18.8383677293181,1
2010-04-09,9593.43871642154,9793.086589628225,9492.18977421322,9656.3876953125,0,8947.615025205774,8183.389357158663,7768.291962453233,65.5612732011687,1.73928309143907,347.65598084032536,322.589818549818,25.06616229050735,0.9667706282261216,16.52751744914132,0.0,0.0,17.62619756697326,30.213705992952335,17.82067727646718,0
2010-04-16,9661.087870222707,9667.287993449185,9266.043007359038,9353.6416015625,0,8986.284222954033,8229.281602037245,7799.685024613813,59.3113410178517,-6.249932183317,339.147885168426,325.90143187353965,13.24645329488635,0.7424362789922523,16.91253821007197,0.0,0.0,17.460350612247677,28.038483612388195,20.59539012307765,1
2010-04-23,9273.741549440458,9824.835801852649,9205.892730656707,9813.185546875,0,9065.036729994124,8291.39548222696,7839.55632208433,64.79713091199244,5.485789894140737,365.2758413459305,333.77631376801787,31.49952757791266,0.9786058144942196,18.533816645690056,0.0,0.0,17.662729667358366,27.76243753610297,18.39533692997186,1
2010-04-30,9890.684947092615,9923.035521597902,9603.388061316393,9870.2353515625,0,9141.722313000637,8353.310771220511,7879.767788014591,65.42043096905275,0.6233000570603053,386.1347562025712,344.24800225492856,41.88675394764266,0.946998593932784,20.214147873445544,0.0,0.0,18.067216535547526,27.928366571446237,17.363736350611312,0
2010-05-07,9809.286716527717,9863.33589487084,9239.692803182405,9275.9921875,0,9154.509920095812,8389.494356172649,7907.415795925193,54.57998323428596,-10.840447734766784,350.6728016926445,345.5329621424718,5.139839550172724,0.6060459959399249,19.707205682375715,0.0,0.0,17.282400358113705,24.95536230262357,21.65541698752511,1
2010-05-14,9419.390448776294,9848.93564600928,9401.940456414084,9588.9384765625,0,9195.884068330735,8436.531380501663,7940.713274749694,58.48176518056358,3.901781946277616,343.8573241905051,345.19783455207846,-1.3405103615733651,0.7565423137700837,20.17101297928474,0.0,0.0,16.553642479068014,22.60106673334432,19.61243914387084,0
2010-05-21,9485.23973448388,9571.93852541733,8969.095689987538,9135.59375,0,9190.142133251618,8463.945591070225,7964.374274259601,51.57045880508026,-6.911306375483321,298.4347089380826,335.8452094292793,-37.41050049119673,0.5071476050409833,20.14036779162003,0.0,0.0,16.042272008578845,20.36290572233805,24.585570494780043,1
2010-05-28,9524.38945642418,9524.38945642418,8806.548373998365,9312.4912109375,0,9201.79442636456,8497.22188988855,7991.069659144313,53.8617410487745,2.2912822436942406,273.5577028870339,323.38770812083027,-49.83000523379639,0.5989033615158255,20.20334709380721,0.0,0.0,15.946518230688527,18.12440339786198,24.372123403092523,1
2010-06-04,9305.442079425278,9490.83943529769,9083.545205175644,9455.83984375,0,9225.989228020317,8534.814750824293,8020.075009334525,55.69116841741612,1.8294273686416176,262.38492295302603,311.1871510872694,-48.80222813424336,0.6610303888806848,20.24553313034405,0.0,0.0,15.857604008361808,16.983596609726977,22.83806552492856,0
2010-06-11,9221.692232131723,9462.940298926938,9143.394039091208,9451.640625,0,9247.479837256476,8570.768706674322,8048.422843308099,55.62159280812857,-0.069575609287547,250.30619845540787,299.0109605608971,-48.70476210548924,0.6418516788341079,19.971511060907048,0.0,0.0,15.775040801915566,16.12599598534256,21.68483869647848,1
2010-06-18,9496.239694746417,9636.68820558524,9422.84039884864,9576.138671875,0,9278.780678648718,8610.194979819447,8078.674641893582,57.32388568210458,1.7022928739760133,247.92178615293776,288.79312567930526,-40.87133952636748,0.6887011187356009,19.42782193452545,0.0,0.0,15.10414844110686,18.41273872996122,20.92338565186415,0
2010-06-25,9626.28863769372,9793.03670189212,9429.591067962088,9450.990234375,0,9295.181588717887,8643.167342743196,8105.849208081332,55.03841292188547,-2.2854727602191147,233.24498621621024,277.68349778668625,-44.43851157047601,0.5987273242320138,16.568842991767813,0.0,0.0,14.068396960143684,19.89863883195508,19.659852815652616,0
2010-07-02,9455.989285778996,9551.788949328558,9301.29194186764,9357.0419921875,0,9301.073055714993,8671.16242703513,8130.625302816108,53.319804687040985,-1.718608234844481,211.59355969565516,264.46551016848,-52.87195047282489,0.5072662440439272,13.803445278081686,0.0,0.0,13.414552600139396,19.04498277466121,21.013697005016663,1
2010-07-09,9335.34140183036,9726.386569478576,9311.99108801595,9713.5869140625,0,9340.360089843329,8712.041818683263,8161.971077296234,58.6029295466964,5.283124859655409,220.6611986716216,255.7046478691084,-35.04344919748675,0.7879124797075189,11.243814685226388,0.0,0.0,12.662915327335227,20.68428772460521,19.52167959776071,1
2010-07-16,9745.78734722626,10061.832755348316,9737.537406604211,10013.333984375,0,9404.452841703484,8763.072884004509,8198.631728921557,62.45050934417241,3.847579797476016,249.16226389229087,254.39617107374488,-5.233907181454015,1.0486813682302112,10.384942500275017,0.0,0.0,12.8903374781867,25.251309259816125,18.342995830670137,1
2010-07-23,10001.78453413647,10120.482111904168,9914.734115581246,10093.783203125,0,9470.103352315058,8815.25760240139,8236.15948088598,63.432846892711886,0.9823375485394764,275.07030379290336,258.5309976175766,16.53930617532677,1.0461584609132215,10.907082214947293,0.0,0.0,13.248807576143108,25.37169555294768,17.664396713008713,1
2010-07-30,10108.783195414357,10243.781262499226,9951.434232628457,10160.8818359375,0,9535.89177932672,8868.02718018712,8274.272794847397,64.27237901242167,0.83953211970978,297.5865188249463,266.34210185905056,31.244416965895766,1.020751216598724,11.73505394901925,0.0,0.0,13.88987660077005,26.27199444612101,16.717996131520927,1
2010-08-06,10258.230296881797,10542.777852494388,10255.281112433477,10383.529296875,0,9616.619161950366,8927.45863574351,8316.040250333092,66.9812916862714,2.7089126738497384,329.59717969321355,278.9931174258832,50.60406226733039,1.0836593636764364,13.380610794316093,0.0,0.0,15.1556847697747,29.91806252422502,15.5462514211812,1
2010-08-13,10407.429086250371,10782.074673179624,10308.030546748285,10737.224609375,0,9723.343490276522,8998.429850395725,8363.984495066594,70.77250902813913,3.791217341867721,379.1356747644386,299.02162889359425,80.11404587084434,1.1525435072149346,16.467102018668697,0.0,0.0,16.791367632890275,31.67952256576219,14.214456470534689,1
2010-08-20,10731.925183227691,11126.821098204036,10645.3265794546,11033.6220703125,0,9848.131926470423,9078.241310000303,8416.848605467503,73.51673566801237,2.744226639873247,437.2714934304786,326.67160180097113,110.59989162950744,1.1422753047100218,20.1066468417978,0.0,0.0,18.874556261536963,35.09975554513339,12.996593377725327,0
2010-08-27,11024.37191861988,11125.670915790262,10681.475143642056,10727.3251953125,0,9931.864618741098,9142.911266287058,8462.600617147602,66.56160930347556,-6.9551263645368095,453.40240983913645,352.0177634086042,101.38464643053226,0.923628405771274,21.672730055370742,0.0,0.0,20.80894570242318,32.34640219308879,11.977093002695442,1
2010-09-03,10834.274376989062,11017.022158895836,10653.175887029503,10991.072265625,0,10032.741537491946,9215.388168221878,8512.669362662005,69.25855869507346,2.6969493915978973,481.9132655137073,377.9968638296248,103.91640168408247,0.9692258040731172,23.317382468007796,0.0,0.0,22.480092088159143,30.252991781176075,11.70532146535869,1
2010-09-10,11033.470910229458,11468.616931662978,11033.470910229458,11446.5673828125,0,10167.391617998665,9302.885392323473,8570.766353160036,73.26844787420498,4.00988917913152,535.0947342592972,409.4164379155593,125.67829634373788,1.0463778441346332,26.710667930240835,0.0,0.0,24.713086659003924,35.643049963358955,10.72430083918971,1
2010-09-17,11489.36675058263,12236.707583954923,11489.36675058263,12103.958984375,0,10351.8266052726,9412.73141554118,8640.730563679143,77.77440150682034,4.505953632615359,623.1046767429161,452.15408568103067,170.95059106188546,1.1186727975340942,32.06139178784672,0.0,0.0,27.57440830020918,43.64259818675788,9.330852252364554,1
2010-09-24,12108.908880893165,12339.857024465526,12067.25995154198,12263.4072265625,0,10533.881902538304,9524.522623816529,8712.466735221387,78.71171214046741,0.9373106336470728,697.6769452821572,501.258657601256,196.41828768090124,1.0515308217398596,35.61862051129109,0.0,0.0,30.31522869043208,43.37535518074752,8.901147957810359,1
2010-10-01,12323.306799759144,12579.80441865578,12163.208298178672,12556.6044921875,0,10726.522149171562,9643.427795125192,8788.588274963291,80.35253419365984,1.640822053192423,771.5407330447288,555.3150726899506,216.2256603547781,1.0252788082813866,39.51637424471447,0.0,0.0,33.04774595851362,44.37731940128286,8.27403677576181,0
2010-10-08,12605.303268788575,12738.351522675037,12414.655952451696,12473.255859375,0,10892.87774061951,9754.401444703615,8861.551989506097,78.50021909300949,-1.852315100650344,813.9698412606194,607.0460264040844,206.92381485653505,0.9423505337619194,40.8290901506852,0.0,0.0,35.70180173158594,44.633572136670665,7.8134138285876675,0
2010-10-15,12514.754860713749,12827.200468274925,12324.257092315063,12346.306640625,0,11031.299540620032,9856.044785720142,8930.55703210251,75.6401031623282,-2.860115930681289,827.8090072701016,651.1986225772878,176.6103846928138,0.86879951731482,41.22863493314956,0.0,0.0,37.79017303605114,40.83013727552272,8.679241679101207,1
2010-10-22,12451.404850110985,12535.703652412683,12139.759214682495,12384.65625,0,11160.190655799075,9955.20601961347,8998.95503641731,75.92545875176732,0.2853555894391206,832.2771659197515,687.4143312457805,144.86283467397095,0.8390768578992267,41.30365149320029,0.0,0.0,38.979291672863305,38.07907415800239,11.234067814683131,0
2010-10-29,12423.205093835792,12580.353656397174,11955.410618083595,12330.6064453125,0,11271.658826228926,10048.35897748402,9064.928331642956,74.59909583713602,-1.3263629146313036,821.9815546198206,714.3277759205886,107.65377869923202,0.796448288733629,40.5573337527081,0.0,0.0,39.37618766648912,34.1661079716493,13.110898223650466,1
2010-11-05,12485.354469501182,13204.39623258709,12485.354469501182,13182.7470703125,0,11453.667230427362,10171.27615759494,9146.469296765126,80.40966456907724,5.810568731941217,872.5249112410165,745.9672029846741,126.55770825634238,0.9297305469337592,41.501230168656434,0.0,0.0,40.49530173826218,39.157693041509184,11.354093837948527,0
