Date,Open,High,Low,Close,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di,label
2009-11-27,5052.9501953125,5138.0,4806.7001953125,4941.75,0,4742.753326547241,4365.808882102919,4457.546929682467,58.8692143874796,-3.439714959114376,256.42070128479645,294.13818107449185,-37.7174797896954,0.6617547624817618,18.148755246632536,0.0,0.0,26.924642423044705,25.38952705881102,20.78005232550005,1
2009-12-04,4942.25,5181.0,4942.25,5108.89990234375,0,4777.624429004051,4394.949706426089,4470.445008349027,62.25725117021096,3.388036782731369,255.2418030120607,286.3589054620056,-31.117102449944923,0.8319391317871755,16.900874287266557,0.0,0.0,25.89548185869371,24.87614865542628,19.34167179834481,1
2009-12-11,5108.85009765625,5182.5498046875,5051.5498046875,5117.2998046875,0,4809.974464783428,4423.277161259869,4483.254014217116,62.42475921805261,0.1675080478416504,252.07950394816908,279.50302515923835,-27.42352121106927,0.8103515771415939,16.713625982134246,0.0,0.0,24.946649305959077,23.947013407859146,18.583179437524773,0
2009-12-18,5117.4501953125,5156.7001953125,4979.0498046875,4987.7001953125,0,4826.900724833815,4445.411397889384,4493.243047506133,58.13756528479654,-4.287193933256077,236.39078793431415,270.88057771425355,-34.48978977993937,0.632894111137966,16.211229054766175,0.0,0.0,23.64657213574404,22.64982910247799,19.78720942008058,1
2009-12-25,4983.64990234375,5197.89990234375,4943.9501953125,5178.39990234375,0,4860.376836977618,4474.156045122889,4506.810509978165,62.24628881672324,4.1087235319267,236.6176589922297,264.0279939698488,-27.410334977619076,0.8524989300080787,15.059576320354234,0.0,0.0,22.64515041404266,22.15518844600572,18.264152657299224,1
2010-01-01,5180.75,5221.85009765625,5160.10009765625,5201.0498046875,0,4892.821881521416,4502.661682752874,4520.557822744687,62.714373970517606,0.4680851537943695,235.90573925030003,258.4035430259391,-22.497803775639056,0.8550449484868743,14.379649163020236,0.0,0.0,21.837743256109444,22.483771791710957,17.903292955016507,1
2010-01-08,5200.89990234375,5310.85009765625,5167.10009765625,5244.75,0,4926.338845186043,4531.763185390017,4534.898261898257,63.65077545923037,0.936401488712768,236.14563834636283,253.95196209002384,-17.80632374366101,0.90433261945165,12.928237534982584,0.0,0.0,21.53493997661823,24.34464635258055,17.05834246542502,1
2010-01-15,5263.7998046875,5300.5,5169.5498046875,5252.2001953125,0,4957.373259483801,4560.015617151682,4549.102260579727,63.81761034414495,0.1668348849145786,234.23679266767977,250.00892820555504,-15.772135537875272,0.8774255030244466,12.797487866397905,0.0,0.0,21.25376550280496,23.2673664588453,16.303490285922944,0
2010-01-22,5253.64990234375,5292.5,4954.85009765625,5036.0,0,4964.861520485344,4578.681671381028,4558.743799974188,55.81203287822724,-8.00557746591771,212.8251539182238,242.5721733480888,-29.74701942986502,0.5141826030394826,11.243189447671234,0.0,0.0,19.863686094723363,20.721208587453244,21.47768871921711,0
2010-01-29,5034.5498046875,5035.7001953125,4766.0,4882.0498046875,0,4956.974690409359,4590.578460922457,4565.145899077421,50.91424183103921,-4.897791047188029,181.34336833268756,230.32641234500855,-48.983044012321045,0.2310029720597688,10.978101044344603,0.0,0.0,19.52056652487082,18.936679069076146,25.65169335949787,0
2010-02-05,4882.0498046875,4951.14990234375,4692.35009765625,4718.64990234375,0,4934.277091545968,4595.600870389959,4568.185582310417,46.27278532198201,-4.6414565090572,141.57681056921683,212.57649198985024,-70.99968142063341,0.0134177539672384,12.249946950288848,0.0,0.0,19.527714654334563,17.390677211875737,25.880822548427883,1
2010-02-12,4755.35009765625,4843.7998046875,4675.39990234375,4826.85009765625,0,4924.045949270757,4604.669467537657,4573.307651921225,49.552354820844855,3.279569498862841,117.43861923451186,193.54891743878255,-76.11029820427072,0.2098929478720759,12.67621748920002,0.0,0.0,19.609752819747158,16.449602354185007,25.02499293565904,1
2010-02-19,4827.89990234375,4929.7001953125,4783.89990234375,4844.89990234375,0,4916.508230515804,4614.090268902602,4578.685716286028,50.09956727050791,0.547212449663057,98.62846948313928,174.56482784765393,-75.93635836451466,0.2616598479639104,12.950571125878104,0.0,0.0,19.109437564299505,18.489373783169537,23.822990892472667,1
2010-02-26,4849.35009765625,4992.0,4833.14990234375,4922.2998046875,0,4917.059809008346,4626.176917364755,4585.489955660314,52.47993829863446,2.3803710281265467,88.94155269130079,157.44017281638332,-68.49862012508254,0.38330908657663,12.99022151095812,0.0,0.0,18.24556366328168,19.59531234230753,22.552034243352512,1
2010-03-05,4935.60009765625,5118.64990234375,4935.35009765625,5088.7001953125,0,4933.406512465884,4644.315085127412,4595.454514861347,57.20622002307904,4.726281724444583,93.61261425534484,144.67466110417564,-51.06204684883079,0.6454802466596157,12.839724816115655,0.0,0.0,17.19055793544557,22.57299354664725,21.056652411782224,1
