Date,Open,High,Low,Close,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di,future_4w_return,predicted_return,risk_flag,buy_hold_return,strategy_return,buy_hold_equity,strategy_equity
2022-11-11,16270.0498,18362.30078,15992.59961,18349.69922,1000000.0,17389.646075847835,17015.36969032474,16095.80996941331,56.96124252419778,3.930256044061551,206.62277800397715,134.02888132075512,72.59389668322203,0.8647715550685239,15.28851830309062,96.89811208588984,67.81969379393037,14.830924637929568,17.323653520360043,20.746121054646743,-0.022526233538992968,-0.03480029905774698,True,-0.022526233538992968,0.0,0.977473766461007,1.0
2022-11-18,18376.40039,18442.15039,18209.80078,18307.65039,1000000.0,17477.075058148042,17066.04736482181,16139.608789622947,56.64315069466589,-0.3180918295318946,253.76257554758195,157.9756201661205,95.78695538146144,0.827594486642406,15.827842645039077,96.8981120858896,-67.87836319291772,14.323460310935882,17.542253635505375,20.48001537662324,-0.002111160590061889,-0.015700320978480654,True,-0.002111160590061889,0.0,0.9754101623674352,1.0
2022-11-25,18246.40039,18534.90039,18133.34961,18512.75,1000000.0,17575.71076689585,17122.780801495464,16186.601684877938,57.87872859869095,1.2355779040250638,304.16480660827074,187.21345745455056,116.95134915372016,0.8723447288335348,15.150659757211866,96.89811208588976,67.53509171304286,13.74224739741366,17.671790398096736,20.00250283380521,-0.03813313635197357,-0.015220695038136556,True,-0.03813313635197357,0.0,0.9382147136467771,1.0
2022-12-02,18430.55078,18816.05078,18128.80078,18212.34961,1000000.0,17636.343037667673,17165.50899006427,16226.715505177386,55.388976542795845,-2.489752055895103,316.22390460045426,213.0155468837313,103.20835771672296,0.7473141358956142,13.301174012162928,96.89811208588976,0.0,12.86438696976733,18.62927672342569,19.17831916412988,-0.0058778154544771866,-0.016322027447599526,True,-0.0058778154544771866,0.0,0.9327000607032861,1.0
2022-12-09,17584.84961,17980.55078,15735.75,17936.34961,1000000.0,17664.915092175514,17195.73803398332,16260.569645866944,53.12771134874841,-2.261265194047432,300.05113061027805,230.42266362904064,69.62846698123741,0.6104404399755046,12.445094703009616,96.89811208588957,-67.7533027140981,14.091388506093129,16.06101954719514,29.85542553859588,0.03074206301668969,-0.018019471511244934,True,0.03074206301668969,0.0,0.9613731847450969,1.0
2022-12-16,17025.55078,18696.09961,16960.05078,18269.0,1000000.0,17722.446988158797,17237.826738532996,16300.340543968588,55.486471679922886,2.358760331174473,310.4969811808224,246.437527139397,64.05945404142534,0.7366076071226175,12.389518271171482,96.898112297689,81.53048627061071,14.437127895097865,18.432277589226985,27.041197673100324,-0.017100026821391334,-0.013450804952449847,True,-0.017100026821391334,0.0,0.9449336775005893,1.0
2022-12-23,18288.09961,18473.34961,17779.5,17806.80078,1000000.0,17730.480682619866,17260.139446041507,16330.171439731586,51.60093443057104,-3.8855372493518487,278.27203195625407,252.80442810276844,25.467603853485627,0.5259045626714995,12.390865515967583,96.89811229768888,-67.21155998769738,14.7581716134594,17.713605057425642,25.9868642679857,0.012402542867107735,-0.013381070419418417,True,0.012402542867107735,0.0,0.9566532579423641,1.0
2022-12-30,17830.40039,18265.25,17774.25,18105.30078,1000000.0,17766.177834751306,17293.28302776537,16365.322515776505,53.84868372459911,2.2477492940280683,273.6653391796681,256.9766103181484,16.688728861519678,0.6827918326730902,11.749556140042785,96.89811229768902,67.3443410989312,15.06049043675371,17.202460843720306,25.26784088833321,-0.027668757127380927,-0.020044103003603094,True,-0.027668757127380927,0.0,0.9301838512932391,1.0
2023-01-06,17811.59961,18580.30078,17345.25,18487.75,1000000.0,17834.898993346418,17340.12486981379,16407.35078279083,56.62797894403264,2.7792952194335285,297.4461833099267,265.0705249165041,32.37565839342261,0.8323396673609409,12.310606934276928,96.89811229768902,0.0,15.688915585282508,15.955281344065453,25.95424052893035,-0.0630606542169816,-0.02139557794259495,True,-0.0630606542169816,0.0,0.871525849088616,1.0
2023-01-13,19784.0,20291.55078,17774.25,17956.59961,1000000.0,17846.489528265807,17364.30034982109,16438.02897738903,51.94894961241933,-4.679029331613307,270.31722741984413,266.1198654171721,4.19736200267198,0.5803934463621484,12.285965095764508,96.89811229768878,-67.86700530107332,14.679247780521855,23.097684550165308,22.390987856856327,0.08743031554402414,-0.00893587991276251,False,0.08743031554402414,0.08743031554402414,0.9477236290792073,1.0874303155440241
