Date,Open,High,Low,Close,Volume
2009-02-20,9637.0400390625,9637.0400390625,8762.580078125,8843.2099609375,157800
2009-02-27,8707.349609375,8998.3095703125,8619.2197265625,8891.6103515625,144000
2009-03-06,8762.8798828125,8762.8798828125,8047.169921875,8325.8203125,209600
2009-03-13,8259.2197265625,8793.2099609375,8110.10009765625,8756.6103515625,112000
2009-03-20,8793.8896484375,9120.400390625,8697.4599609375,8966.6796875,211000
2009-03-27,9040.2998046875,10127.08984375,9040.2998046875,10048.490234375,240600
2009-04-03,9902.349609375,10431.98046875,9521.759765625,10348.830078125,204800
2009-04-10,10521.7802734375,10929.330078125,10173.0,10803.8603515625,168600
2009-04-17,10916.4296875,11362.3095703125,10719.1796875,11023.08984375,227000
2009-04-24,11065.099609375,11362.8798828125,10715.66015625,11329.0498046875,213600
2009-05-01,11237.419921875,11492.099609375,10961.759765625,11403.25,140400
2009-05-08,11635.240234375,12272.0400390625,11635.240234375,11876.4296875,247000
2009-05-15,11997.3701171875,12256.4296875,11621.2998046875,12173.419921875,367600
2009-05-22,13479.3896484375,14930.5400390625,13479.3896484375,13887.150390625,225400
2009-05-29,13999.4404296875,14726.599609375,13524.9296875,14625.25,210000
2009-06-05,14790.8896484375,15257.2998046875,14601.91015625,15103.5498046875,207000
2009-06-12,15153.2099609375,15600.2998046875,14526.6904296875,15237.9404296875,208000
2009-06-19,15195.830078125,15261.0302734375,14179.76953125,14521.8896484375,215200
2009-06-26,14591.2802734375,14781.9404296875,14016.9501953125,14764.6396484375,159800
2009-07-03,14764.6396484375,14955.5498046875,14355.51953125,14913.0498046875,150800
2009-07-10,14962.1201171875,15097.8701171875,13418.3896484375,13504.2197265625,173000
2009-07-17,13405.9501953125,14800.7001953125,13219.990234375,14744.919921875,148200
2009-07-24,14854.169921875,15418.6103515625,14786.580078125,15378.9599609375,210000
2009-07-31,15350.8896484375,15732.8095703125,14888.41015625,15670.3095703125,180800
2009-08-07,15694.7802734375,16002.4599609375,15104.0,15160.240234375,176400
2009-08-14,15287.1396484375,15545.1298828125,14701.0498046875,15411.6298828125,159600
2009-08-21,15284.23046875,15411.6298828125,14684.4501953125,15240.830078125,119600
2009-08-28,15362.9296875,15957.669921875,15362.9296875,15922.33984375,118000
2009-09-04,15812.150390625,15923.08984375,15356.7197265625,15689.1201171875,128800
2009-09-11,15793.26953125,16434.76953125,15793.26953125,16264.2998046875,148800
2009-09-18,16185.259765625,16820.01953125,16119.9501953125,16741.30078125,145600
2009-09-25,16805.220703125,16943.490234375,16494.919921875,16693.0,116200
2009-10-02,16829.109375,17195.609375,16802.80078125,17134.55078125,64600
2009-10-09,17062.009765625,17120.560546875,16606.94921875,16642.66015625,171800
2009-10-16,16687.3203125,17350.390625,16687.3203125,17322.8203125,114400
2009-10-23,17414.80078125,17457.259765625,16721.259765625,16810.810546875,100200
2009-10-30,16808.05078125,16938.880859375,15805.2001953125,15896.2802734375,147200
2009-11-06,15838.6298828125,16283.8603515625,15330.5595703125,16158.2802734375,124800
2009-11-13,16190.7900390625,16909.740234375,16147.2099609375,16848.830078125,122200
2009-11-20,16893.109375,17098.7890625,16635.75,17021.849609375,98200
2009-11-27,17067.140625,17290.48046875,16210.4404296875,16632.009765625,109600
2009-12-04,16655.75,17361.26953125,16655.75,17101.5390625,101800
2009-12-11,17106.740234375,17351.7109375,16943.009765625,17119.029296875,99800
2009-12-18,17118.140625,17275.189453125,16693.060546875,16719.830078125,95800
2009-12-25,16724.83984375,17413.689453125,16577.779296875,17360.609375,80600
2010-01-01,17388.669921875,17530.939453125,17322.80078125,17464.810546875,44800
2010-01-08,17473.44921875,17790.330078125,17378.380859375,17540.2890625,111800
2010-01-15,17724.58984375,17776.5703125,17276.4609375,17554.30078125,104200
2010-01-22,17538.720703125,17712.599609375,16608.08984375,16859.6796875,86200
2010-01-29,16847.69921875,16877.76953125,15982.080078125,16357.9599609375,89000
2010-02-05,16339.3203125,16552.990234375,15725.4296875,15790.9296875,95800
2010-02-12,15931.33984375,16202.8701171875,15651.990234375,16152.58984375,82000
2010-02-19,16186.900390625,16480.890625,16011.8203125,16191.6298828125,90600
2010-02-26,16191.3203125,16669.25,16167.1298828125,16429.55078125,83000
2010-03-05,16438.44921875,17097.7109375,16438.44921875,16994.490234375,81000
