Date,Open,High,Low,Close,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di,future_4w_return,close_vs_ema20,close_vs_ema50,close_vs_ema100,ema20_vs_ema50,ema50_vs_ema100,rsi_roc,macd_roc,adx_roc,di_spread,obv_roc,predicted_return,risk_flag,buy_hold_return,strategy_return,buy_hold_equity,strategy_equity
2023-06-16,44035.19921875,44212.3515625,43397.5,43938.1484375,868900,42546.80206478437,40929.636310392,38578.757526226735,62.32728795835308,-0.4064944256667502,909.8872307902784,720.3659309389755,189.52129985130296,0.8091128800447062,14.819202896579007,-21.13729549833961,-13.674984473707058,17.791805677894335,22.16167343866404,18.005929060196664,0.020054380420772677,0.032701549944860187,0.07350449205785248,0.13892077544565362,0.0395108752525557,0.06093713055862637,-0.4064944256667502,-35.594183073452314,-0.5727534740090761,4.155744378467375,2.717979196198428e-05,-0.0017927042290142579,False,0.020054380420772677,0.020054380420772677,1.0200543804207727,1.0200543804207727
2023-06-23,44015.30078125,44042.1484375,43345.94921875,43622.8984375,1000000,42649.28743361443,41035.25443302369,38678.64150466779,59.74280195036792,-2.584486007985156,883.6041541418963,753.0135755795596,130.59057856233665,0.7363597793686412,15.0988311092971,-21.137957516367216,-13.81740975335046,17.1931985225466,21.18011777521333,17.536389038842643,0.05621590653274655,0.022828306461181613,0.06305904618429437,0.1278291258558173,0.03933283765122275,0.060928017031609105,-2.584486007985163,-58.93072128896631,-0.5986071553477359,3.6437287363706865,3.131990219173986e-05,-0.004083564644669888,False,0.05621590653274655,0.05621590653274655,1.0773976621288255,1.0773976621288255
2023-06-30,43714.75,44787.1015625,43541.75,44747.3515625,693100,42849.10306493686,41180.82686947374,38798.813981060506,65.27402692867796,5.531224978310036,942.6424014499426,790.9393407536363,151.70306069630624,0.8666772531735009,15.921037005974734,-21.13749958855123,13.448931010698283,17.39098767896703,24.21763341623574,16.157791486048755,0.016107098517178287,0.044300775553840266,0.08660643712499194,0.15331751079667666,0.040510993155889574,0.06139396141273812,5.531224978310036,21.112482133969593,0.1977891564204306,8.059841930186984,-2.1663768395407956e-05,0.005734769218936774,False,0.016107098517178287,0.016107098517178287,1.094751412414912,1.094751412414912
2023-07-07,44957.94921875,45655.5,44844.80078125,44925.0,1000000,43046.80753494288,41327.65718831791,38920.12459529693,66.06726109927487,0.7932341705969179,992.326460293014,831.2167646615119,161.10969563150206,0.8498800659382848,16.530011259874282,-21.136492414109853,14.236390248594084,18.303926401166414,28.369663361920068,15.218258888011654,-0.0010127991096271494,0.043631399692823036,0.08704444085204388,0.15428715779159385,0.04159805959460283,0.061858296139984725,0.7932341705969179,9.406634935195825,0.9129387221993852,13.151404473908414,-4.7648703062397324e-05,0.00343572551797003,False,-0.0010127991096271494,-0.0010127991096271494,1.093642649159155,1.093642649159155
2023-07-14,44958.6484375,45184.30078125,44547.80078125,44819.30078125,1000000,43215.616415543554,41464.584388040734,39036.9399653158,65.11420643552876,-0.9530546637461156,1011.5123070613045,867.2758731414705,144.23643391983398,0.8054352288555722,16.134640419639766,-21.1372833362089,-13.994577658087705,18.7344036259647,27.17689544611057,16.54024867794371,-0.01383777095892269,0.037108908739981405,0.08090558346888521,0.14812536077550664,0.04222958105924857,0.06218838937892879,-0.9530546637461157,-16.87326171166808,0.43047722479828465,10.636646768166862,3.741974228987921e-05,-0.0016590058858282927,False,-0.01383777095892269,-0.01383777095892269,1.0785090726691813,1.0785090726691813
2023-07-21,44951.19921875,46369.5,44695.05078125,46075.19921875,1000000,43487.95763489655,41645.39281277444,39176.31143568084,70.5502248304138,5.436018394885039,1115.202377953137,916.861174103804,198.3412038493334,0.9249693258151056,17.089805497602434,-21.136380612267654,14.126738976537869,20.007974050400517,31.817961132969693,14.77978112415228,-0.04827213935506758,0.059493287902243175,0.10636966316756058,0.17609845159607906,0.04424414557465561,0.06302485575109107,5.436018394885039,54.10476992949941,1.2735704244358175,17.038180008817413,-4.270766147596028e-05,0.004342556961428136,False,-0.04827213935506758,-0.04827213935506758,1.02644713241759,1.02644713241759
2023-07-28,46131.8984375,46310.1015625,45238.80078125,45468.1015625,1000000,43676.54277085878,41795.3029598225,39300.90133918221,65.25668665131124,-5.293538179102555,1135.3027358119507,960.5494864454332,174.75324936651737,0.810715688468658,16.86095103874746,-21.137218755460754,-14.052478904888128,21.1905751588052,29.6440226488128,13.76996359250922,-0.02719824011235894,0.04101878669839576,0.08787586983657314,0.1569226153388299,0.04501079494135274,0.06346932349242129,-5.293538179102555,-23.58795448281603,1.1826011084046826,15.874059056303581,3.965405470673922e-05,-0.00355407432708771,False,-0.02719824011235894,-0.02719824011235894,0.998529576847454,0.998529576847454
2023-08-04,45546.3515625,45782.75,44279.3984375,44879.5,1000000,43791.11012601509,41916.25186335887,39411.36863939642,60.51575553569463,-4.740931115616611,1091.158985720569,986.6713863004604,104.4875994201085,0.7131962862758234,15.223340822009376,-21.137977134328867,-13.953271368976214,21.00324480315001,26.869615640574786,18.45395721341625,-0.009879754397887686,0.024854128403068998,0.07069449211014645,0.138745025848646,0.0447286715608064,0.06355737723501731,-4.740931115616611,-70.26564994640887,-0.18733035565518819,8.415658427158537,3.587883897537836e-05,-0.0048980769571006985,False,-0.009879754397887686,-0.009879754397887686,0.9886643498691745,0.9886643498691745
2023-08-11,44993.69921875,45096.8515625,44120.8984375,44199.1015625,1000000,43829.96645329937,42005.77538097225,39506.17523193313,55.4965901507064,-5.019165384988227,989.8617678629888,987.3094626129662,2.552305250022755,0.5894712903988386,12.535295792405874,-21.13866147439156,-13.851264692548051,20.6352795267878,25.21947069711424,18.318024157346564,0.021658740588795133,0.008421980190058909,0.05221487192261853,0.11878969054877131,0.043427149142768684,0.06327112494096054,-5.019165384988227,-101.93529417008574,-0.36796527636220944,6.901446539767676,3.237490788943198e-05,-0.008298323699776382,False,0.021658740588795133,0.021658740588795133,1.0100775745523807,1.0100775745523807
2023-08-18,44066.6015625,44212.75,43600.3515625,43851.05078125,606300,43831.974484532766,42078.13912215961,39592.212371523565,53.07171086687277,-2.424879283833633,871.4526400644463,964.1380981032622,-92.68545803881592,0.4957385883178637,10.67346310027086,-21.13906160027493,-13.31513184140697,19.67336859079214,24.21456100006247,20.975126323845483,0.05428488431496925,0.0004352141773573681,0.042133794318787166,0.10756757843594444,0.041680440222926274,0.0627882758182019,-2.424879283833633,-95.23776328883868,-0.961910935995661,3.2394346762169874,1.8928629130554597e-05,0.0003329400917402818,False,0.05428488431496925,0.05428488431496925,1.0649095188361013,1.0649095188361013
2023-08-25,43952.8515625,44949.8984375,43862.0,44231.44921875,872300,43870.01969731536,42162.58265535924,39684.07844770627,55.36711710558379,2.295406238711017,799.0960461759678,931.1296877178032,-132.03364154183555,0.5515082874912828,8.859226398640324,-21.13848587794092,13.678889826815242,19.46034147182852,27.27941479253427,19.475548969058185,0.008604772604616784,0.008238645068508132,0.04906878168023665,0.11458930001451417,0.04049650031908292,0.0624558841883911,2.295406238711017,-39.34818350301963,-0.2130271189636197,7.803865823476084,-2.72349995896759e-05,4.249549303341902e-05,False,0.008604772604616784,0.008604772604616784,1.074072823090178,1.074072823090178
2023-09-01,44253.6484375,44779.6484375,43830.75,44436.1015625,1000000,43923.93225590437,42251.74025956084,39778.17791532595,56.59711981448946,1.2300027089056726,749.625442531993,894.8288386806414,-145.20339614864838,0.5829587549071261,7.929406299327031,-21.137506791751694,14.209106168128992,19.22367852299189,25.578780059317825,18.46672572944613,0.0033407345273348543,0.01166037010556531,0.051698729792434506,0.11709746125348341,0.03957687863436932,0.06218390267900786,1.2300027089056726,-13.16975460681283,-0.23666294883663141,7.112054329871697,-4.631770671181812e-05,-0.0006224501573328713,False,0.0033407345273348543,0.0033407345273348543,1.0776610152551473,1.0776610152551473
2023-09-08,44647.6484375,45383.3515625,44207.25,45156.3984375,1000000,44041.30998748491,42365.64842340159,39884.67733160663,60.70200498751753,4.104885173028073,759.7832622692586,867.8197233983649,-108.03646112910631,0.7799208709090085,6.925687315749007,-21.136803210476074,13.877828803613395,19.533407962530028,27.55704634765746,17.04811831665992,-0.017623125460314193,0.025319148098273292,0.06587294466044047,0.13217409437873995,0.03955236439052667,0.06220361446496914,4.104885173028073,37.166935019542066,0.30972943953813825,10.508928030997541,-3.3285916004710536e-05,0.001710248110426517,False,-0.017623125460314193,-0.017623125460314193,1.0586692599796164,1.0586692599796164
