Date,Open,High,Low,Close,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di
2009-11-27,17067.140625,17290.48046875,16210.4404296875,16632.009765625,109600,15944.188341413128,14594.111348278091,14835.654034608471,59.13665750369685,-3.5965738406428898,907.7076474315527,1045.3358118696806,-137.6281644381279,0.6586564162335607,18.038733795221752,14.369281296834123,-11.604601777542019,30.63262508067286,26.589723527388266,20.685815899499623
2009-12-04,16655.75,17361.26953125,16655.75,17101.5390625,101800,16054.412219611879,14692.441846875028,14880.523045061767,61.96502363711106,2.8283661334142067,892.5393671989495,1014.7765229355344,-122.2371557365849,0.8002633131068769,16.654133696932664,14.426145859955689,11.530775206233024,29.423411443024126,25.506069443829936,19.358054088715036
2009-12-11,17106.740234375,17351.7109375,16943.009765625,17119.029296875,99800,16155.804322208365,14787.60213903189,14924.849901533316,62.07034059366735,0.10531695655629392,871.8792305315383,986.1970644547353,-114.31783392319699,0.7789763850363681,16.307913084348748,14.478920435352332,11.510933482289435,28.300570208064585,24.554823859072002,18.636097947179874
2009-12-18,17118.140625,17275.189453125,16693.060546875,16719.830078125,95800,16209.521060867093,14863.37578370221,14960.394063446021,58.11501498879615,-3.9553256048712058,813.9116161991587,951.7399748036199,-137.8283586044612,0.6125815593568212,15.858058985509786,14.42831552767075,-11.470028402317833,26.820901413887555,23.226132875009796,19.951053846710046
2009-12-25,16724.83984375,17413.689453125,16577.779296875,17360.609375,80600,16319.14851935594,14961.306512772711,15007.923079516397,62.271025052857496,4.156010064061348,810.3363452769372,923.4592488982835,-113.12290362134627,0.8362089421426452,14.821330126803275,14.471060227265655,11.297266335365645,25.652292463721768,22.712072149453476,18.410496773386274
2010-01-01,17388.669921875,17530.939453125,17322.80078125,17464.810546875,44800,16428.25918864347,15059.483141561037,15056.574316493796,62.915432075397256,0.6444070225397596,806.6129490597905,900.0899889305849,-93.47703987079444,0.8515336947533207,14.114117361214515,14.4940520934914,10.709985739582528,24.74356020045939,23.394087680083857,18.037027581908045
2010-01-08,17473.44921875,17790.330078125,17378.380859375,17540.2890625,111800,16534.166795677425,15156.769648264526,15105.756786711741,63.403034399699195,0.48760232430193895,800.5246661012316,880.1769243647143,-79.65225826348274,0.8752190392331205,12.504193297702356,14.549224180393677,11.624475784206961,24.283222952107472,25.034207860775474,17.28946687838417
2010-01-15,17724.58984375,17776.5703125,17276.4609375,17554.30078125,104200,16631.322413351005,15250.790477009055,15154.24280640557,63.49898115111384,0.09594675141464393,787.7495995684421,861.6914594054599,-73.94185983701777,0.8488921132974441,12.231941054898437,14.598041756906172,11.554077005184336,23.640902476153922,23.747428520666144,17.448298534434294
2010-01-22,17538.720703125,17712.599609375,16608.08984375,16859.6796875,86200,16653.07072517472,15313.884171538113,15188.013833753974,55.702460777641654,-7.796520373472184,713.3520715918294,832.0235818427338,-118.67151025090448,0.48042388049575546,10.479783308790806,14.557829258539694,-11.364437057512568,22.113774431376687,21.16049485329643,22.139556581017807
2010-01-29,16847.69921875,16877.76953125,15982.080078125,16357.9599609375,89000,16624.96493810451,15354.82832014201,15211.181083797212,50.846317837138706,-4.856142940502949,606.9108156838938,787.0010286109659,-180.09021292707212,0.19003053094635108,10.329197722983668,14.514540898749555,-11.39640288460621,21.625069705472946,19.322266906813947,26.28779349227211
2010-02-05,16339.3203125,16552.990234375,15725.4296875,15790.9296875,95800,16545.533009475508,15371.930334548206,15222.661254167562,45.968686954968184,-4.877630882170521,471.3671225395392,723.8742473966806,-252.50712485714143,-0.032075492082084975,11.828480993724137,14.465750759433474,-11.470028402317833,21.5072253249528,17.78498326331099,26.663722675475217
2010-02-12,15931.33984375,16202.8701171875,15651.990234375,16152.58984375,82000,16508.109850834982,15402.544432948278,15241.075681684046,49.30879951808313,3.3401125631149426,388.65059909265983,656.8295177358765,-268.17891864321666,0.17718915210443004,12.371157722299596,14.50765773869101,11.314486721293981,21.49393332374473,16.825357187364965,25.94434387768177
2010-02-19,16186.900390625,16480.890625,16011.8203125,16191.6298828125,90600,16477.96890149951,15433.488960393934,15259.898537151936,49.67048624974573,0.36168673166260135,322.5294445327927,589.9695030952597,-267.440058562467,0.22511653154920142,12.700148224524671,14.55200502181709,11.41422052949775,20.925528350847618,18.826459373017705,24.72118309385365
2010-02-26,16191.3203125,16669.25,16167.1298828125,16429.55078125,83000,16473.357651951937,15472.550208270643,15283.059967728135,51.9218951170626,2.2514088673168686,286.02901682383526,529.1814058409748,-243.1523890171395,0.3431614222015577,12.82030175416004,14.590975241503289,11.326607934898927,20.035025295328484,19.78970084481577,23.446859023816145
2010-03-05,16438.44921875,17097.7109375,16438.44921875,16994.490234375,81000,16522.989326468418,15532.234130862971,15316.949675978569,56.85699581089163,4.935100693829035,299.23862081312654,483.19284883540513,-183.95422802227858,0.6162939127591174,12.537529726144625,14.627596106527092,11.302216779257382,18.76472429972767,22.83949788624049,21.833982124625834
2010-03-12,17034.919921875,17244.5390625,17027.919921875,17166.619140625,124000,16584.28740400714,15596.32766065756,15353.576794090379,58.26274908997587,1.4057532790842373,319.9089797555862,450.5360750194414,-130.6270952638552,0.687035147894045,12.708429699810504,14.68118187360714,11.728044909070785,17.830641864970808,23.807385938964398,21.2449998637444
2010-03-19,17166.970703125,17600.869140625,17061.140625,17578.23046875,70800,16678.948648268364,15674.049339406283,15397.62934210344,61.49382591868154,3.2310768287056675,365.29311074605357,433.48748216476383,-68.19437141871026,0.8483305706351377,12.369041591170399,14.7105372031305,11.167628403875849,17.530205370601884,26.298171708177136,19.99143052777517
