Date,Open,High,Low,Close,Volume
2008-01-04,9819.385763211902,10333.179705784096,9813.836023088978,10233.0810546875,0
2008-01-11,9982.98327029504,10634.076302027295,9948.233675257748,10561.4267578125,0
2008-01-18,10614.726553933257,10774.025488446963,9648.337977686564,9739.787109375,0
2008-01-25,9671.287542286653,9827.185651665786,7958.857991101833,9752.13671875,0
2008-02-01,9748.236161962866,10113.231955523695,9002.095572258515,9326.94140625,0
2008-02-08,9444.2904259346,9708.486568514165,8624.649696747272,8816.8974609375,0
2008-02-15,8841.09764479356,9403.59054453982,8216.805081461027,9379.9404296875,0
2008-02-22,9411.14054300766,9538.589482642274,8641.899913217929,8684.9990234375,0
2008-02-29,8715.698646562027,8903.346491392484,8248.654503353426,8688.2490234375,0
2008-03-07,8460.501046327807,8460.501046327807,7064.417894225065,7268.0654296875,0
2008-03-14,7163.41679341725,7705.560215318308,6840.570198152384,7105.91748046875,0
2008-03-21,6955.919183132499,6955.919183132499,6334.926405524801,6456.474609375,0
2008-03-28,6461.574765005206,7230.715515779828,6456.724723746847,7037.76806640625,0
2008-04-04,6970.4689982222935,6970.4689982222935,6446.62540754643,6545.07373046875,0
2008-04-11,6485.324354663248,7094.76765622044,6485.324354663248,6838.37060546875,0
2008-04-18,6773.2209091912455,7213.715740497968,6687.822001586821,7164.96630859375,0
2008-04-25,7174.366690952918,7651.311116138901,7117.567059090171,7616.21142578125,0
2008-05-02,7643.261098118816,7900.75845326026,7567.7619772444605,7871.80859375,0
2008-05-09,7879.558266382236,7990.357270804983,7267.815303413847,7298.9150390625,0
2008-05-16,7274.615881670946,7666.81077592478,7140.017344027354,7644.51123046875,0
2008-05-23,7616.7613466684625,7616.7613466684625,6994.818523994325,7008.96826171875,0
2008-05-30,6899.819750476213,6925.319454258492,6502.374488699002,6584.2734375,0
2008-06-06,6577.223400725853,6677.072338492291,5974.03059733574,6139.978515625,0
2008-06-13,5960.83043005008,6092.228825305842,5702.43391342423,5993.080078125,0
2008-06-20,6030.529938816991,6455.124961810422,5731.183423179988,5758.533203125,0
2008-06-27,5686.483785909216,5736.983199622554,5183.139970287993,5210.83935546875,0
2008-07-04,5214.03932370543,5214.03932370543,4633.896169441882,4990.841796875,0
2008-07-11,5009.041789711808,5404.58695776784,4843.543597542191,5240.63916015625,0
2008-07-18,5179.889971646429,5418.33706312049,4676.395603222804,5389.08740234375,0
2008-07-25,5448.13703119892,6468.324673337322,5406.237126349211,5917.18115234375,0
