Date,Close,High,Low,Open,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di
2008-05-28,4918.35009765625,4926.89990234375,4835.64990234375,4862.7001953125,0,5002.890299446633,5024.489314588446,5193.379606196391,44.3962602964144,4.373264991452558,-13.827933689013662,17.027928416775588,-30.85586210578925,0.17064568989044507,8.584952513405959,0,0.0,16.294380060541897,16.988097231776475,27.027510259516575
2008-05-29,4835.2998046875,4957.39990234375,4801.89990234375,4926.2998046875,0,4986.929299945764,5017.070118121743,5186.288917057601,39.946869509134864,-4.449390787279533,-25.01103342768147,8.620136047884177,-33.63116947556564,0.04595548759328175,9.089827743241285,0,0.0,17.058775143253932,15.218016326374537,26.472843953859826
2008-05-30,4870.10009765625,4908.85009765625,4833.4501953125,4844.0498046875,0,4975.802709251525,5011.306587907409,5180.02775231698,42.545271576307016,2.5984020671721524,-30.711603488359287,0.7537881406354838,-31.465391628994773,0.16095183257075651,9.300072345205459,0,0.0,17.768570577200826,14.432740453437523,25.10679957598886
2008-06-02,4739.60009765625,4908.7998046875,4713.0,4869.25,0,4953.307222432927,5000.651431426972,5171.306412620727,36.216871480386,-6.328400095921019,-45.23812870981965,-8.444595229455544,-36.793533480364104,-0.035558436241512864,9.874126069800067,0,0.0,19.383775453594176,12.612636319695806,29.698469737580464
2008-06-03,4715.89990234375,4739.2998046875,4634.0,4739.2998046875,0,4930.697001472054,4989.484704796258,5162.288461922173,35.19304680564012,-1.0238246747458746,-57.994389079655775,-18.354553999495593,-39.63983508016018,-0.005967156328261953,10.496937007638737,0,0.0,21.371875336968703,11.751859110887825,32.777242347219435
2008-06-04,4585.60009765625,4731.5,4564.5,4718.7001953125,0,4897.830629680072,4973.646092751552,5150.868890352551,30.147159151036135,-5.0458876546039875,-77.72199186209582,-30.22804157201564,-47.49395029008018,-0.10812402800247142,12.181193622344598,0,0.0,23.587391535033664,10.528161128591822,33.69768461323429
2008-06-05,4676.9501953125,4690.60009765625,4536.25,4586.9501953125,0,4876.7943978355415,4962.010959518648,5141.4843617378965,36.970180182288395,6.82302103125226,-85.00518292576453,-41.18346984276542,-43.82171308299911,0.09525316282744599,12.65953686841149,0,0.0,25.784524171273883,9.539456802764283,32.25192039704231
2008-06-06,4627.7998046875,4746.2998046875,4614.25,4680.5498046875,0,4853.080627059538,4948.904639721348,5131.3123903111555,34.98985107017323,-1.9803291121151645,-93.66349559900027,-51.679474994012395,-41.984020604987876,0.07717163148003907,13.449332748251935,0,0.0,26.939261009666,12.138773216237933,29.683617313303895
2008-06-09,4500.9501953125,4626.4501953125,4411.60009765625,4626.4501953125,0,4819.544395464582,4931.337798764138,5118.829970608212,30.455652305687664,-4.534198764485566,-109.4987407991257,-63.24332815503506,-46.25541264409064,-0.013224859702500235,15.23601485558997,0,0.0,29.00399619753949,10.644234563009947,37.569412942385206
2008-06-10,4449.7998046875,4522.5498046875,4369.7998046875,4522.0,0,4784.330624914383,4912.453955859172,5105.581848510771,28.833115575326204,-1.6225367303614604,-124.73779608213954,-75.54222174045596,-49.19557434168358,0.008088538520657298,16.95177038913602,0,0.0,31.08047812781741,9.732501634140617,36.6953673019679
2008-06-11,4523.60009765625,4541.0498046875,4468.0498046875,4469.64990234375,0,4759.499146127895,4897.204784949255,5094.0574574047405,34.2738628652384,5.440747289912196,-129.36851065585688,-86.30747952353614,-43.061031132320736,0.14256734140079338,17.905412065101718,0,0.0,32.7433275959534,10.283049589494196,34.778883397660216
2008-06-12,4539.35009765625,4550.0,4392.0,4524.39990234375,0,4738.532570082977,4883.17126780051,5083.073153251305,35.40877252975196,1.1349096645135575,-130.26586810642402,-95.09915724011373,-35.1667108663103,0.19499522711697836,18.402291555712814,0,0.0,34.594565558318095,9.370482527401123,35.96397281892332
2008-06-13,4517.10009765625,4563.35009765625,4491.35009765625,4539.5,0,4717.443763185194,4868.815535637989,5071.865766011799,34.5024002082541,-0.9063723214978552,-131.2593433955417,-102.33119447119932,-28.928148924342366,0.19961174712085294,18.268656793371022,0,0.0,36.115236988741735,9.753237558915824,34.46305562374422
2008-06-16,4572.5,4617.7001953125,4536.2998046875,4536.2998046875,0,4703.639595262795,4857.195318554146,5061.977335001664,38.70922607223612,4.206825863982019,-126.12250882374701,-107.08945734170887,-19.033051482038147,0.2827445695423751,17.211184935497627,0,0.0,36.73382676867584,12.369159823418062,32.42674945197304
2008-06-17,4653.0,4664.0498046875,4561.75,4572.5,0,4698.816776666338,4849.187659003002,5053.878773912522,44.306835706317024,5.597609634080904,-114.23897736352319,-108.51936134607175,-5.719616017451443,0.40103861775048955,15.928456385390849,0,0.0,36.67301931540675,14.370973503126033,30.45603481405902
2008-06-18,4582.39990234375,4679.75,4569.89990234375,4652.7998046875,0,4687.729455302282,4838.725394035972,5044.5425586339325,40.78848458862046,-3.518351117696561,-109.25856617651334,-108.66720231216007,-0.5913638643532693,0.3236936617191257,14.281056943126108,0,0.0,36.40383590201298,14.365812783350023,28.456142206174828
2008-06-19,4504.25,4585.7001953125,4488.9501953125,4582.5498046875,0,4670.25522146397,4825.608711916914,5033.843696086726,37.261254896371234,-3.5272296922492288,-110.34560299842542,-109.00288244941314,-1.3427205490122844,0.22578062093832166,13.29654916506587,0,0.0,36.67382549391292,13.5235287771516,31.69333204155772
2008-06-20,4347.5498046875,4532.0,4333.60009765625,4504.2001953125,0,4639.5213722471635,4806.8613037902705,5020.2537180392155,31.398168785975855,-5.863086110395379,-122.44007075563877,-111.69032011065828,-10.749750644980494,0.029205077295313752,13.591003898371948,0,0.0,37.7070682450023,11.97323178191219,37.03635326502962
2008-06-23,4266.39990234375,4351.14990234375,4225.5,4351.14990234375,0,4603.985994161125,4785.666739027662,5005.325919708612,28.865110585909562,-2.533058200066293,-136.9939613990473,-116.75104836833609,-20.242913030711208,-0.0153494308020097,14.630670330696677,0,0.0,39.087708993917154,11.104975627802284,40.589399376242795
2008-06-24,4191.10009765625,4305.89990234375,4156.10009765625,4271.0498046875,0,4564.663527827327,4762.350400150352,4989.202636103614,26.711672170570708,-2.1534384153388544,-152.84221955457724,-123.96928260558433,-28.872936948992916,-0.03391546323351668,15.936686636072134,0,0.0,40.60607730333364,10.15911702420624,41.07821759920899
2008-06-25,4252.64990234375,4264.5498046875,4093.199951171875,4189.60009765625,0,4534.947944447939,4742.362145334407,4974.617433454904,31.22802868018202,4.516356509611313,-158.6071984243854,-130.89686576934454,-27.710332655040844,0.08712053339939155,15.708550409150993,0,0.0,42.21402541059383,9.19442164426248,40.66328567846964
2008-06-26,4315.85009765625,4324.75,4230.0,4252.60009765625,0,4514.081482848731,4725.636182680361,4961.572535716316,35.61547035254485,4.387441672362826,-156.2748192983163,-135.9724564751389,-20.30236282317739,0.20183052273340835,15.262640060652688,0,0.0,42.92395489990117,12.102835330305444,38.48694044813988
2008-06-27,4136.64990234375,4315.2998046875,4119.2001953125,4315.2998046875,0,4478.135618038733,4702.53868149069,4945.237434065374,29.808554413074603,-5.806915939470244,-166.9617193891645,-142.17030905794402,-24.791410331220476,-0.004750921188301125,15.385757046151863,0,0.0,43.98497955507143,10.809715467233659,40.3948333109549
2008-06-30,4040.550048828125,4163.0,4021.699951171875,4136.25,0,4436.4608019234365,4676.578342954903,4927.322832377507,27.243272711717353,-2.56528170135725,-181.0980343346464,-149.9558541132845,-31.14218022136191,-0.045818875716155415,16.857371276731293,0,0.0,45.272540009173596,9.984247443875878,42.579398298354334
2008-07-01,3896.75,4075.39990234375,3878.199951171875,4039.75,0,4385.059773168823,4645.996839309612,4906.915449558151,23.92530186818901,-3.317970843528343,-201.58092846529144,-160.28086898368588,-41.30005948160556,-0.10198979850677087,19.301128839471772,0,0.0,46.840167570813314,8.956315101228695,45.68755870253774
