Date,Close,High,Low,Open,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di,label
2008-05-28,6780.821289,6837.320634,6557.573877,6594.973346,0,7208.749043715454,7453.6402703049,7981.270464473612,37.410789021900406,6.329048257266486,-145.4053169967101,-45.23186192459194,-100.17345507211816,0.0829651312022549,19.68493030984947,0,0.0,19.21240547159159,17.441232917266973,39.16052721942665,0
2008-05-29,6576.67334,6847.820082,6526.423926,6826.420429,0,7148.551357647315,7419.249410292943,7953.45666002859,33.76432727855085,-3.6464617433495543,-176.7714779640919,-71.53978513249194,-105.23169283159996,0.0229274265026431,21.5226771757672,0,0.0,20.66126984098958,15.733661160904328,36.27543877027014,1
2008-05-30,6584.273438,6651.422558,6502.374489,6608.523155,0,7094.81060339519,7386.505254516749,7926.344120978519,34.02215627973439,0.2578290011835378,-198.72534010133768,-96.9768961262611,-101.74844397507658,0.0872548849943528,23.06355939627019,0,0.0,22.07122199106131,15.000212771141223,35.33657839300469,0
2008-02-06,6347.076172,6677.072338,6306.176745,6577.223401,0,7023.597800405172,7345.743329712171,7895.071488325479,30.08594307447441,-3.936213205259975,-232.58270242423717,-124.09805738585632,-108.48464503838082,0.0176673071081674,24.57947441134754,0,0.0,23.87448880219174,13.334410023029005,37.28685006943893,0
2008-03-06,6301.126953,6338.426324,6190.528141,6265.577073,0,6954.791053033252,7304.777981605812,7863.508230200221,29.376894798559466,-0.7090482759149523,-260.12407553278445,-151.30326101524196,-108.82081451754247,0.0505085318120749,25.67650280967681,0,0.0,25.80714133858941,12.693652969319023,39.04497824182599,0
2008-04-06,6113.578613,6350.876139,6074.978966,6311.176407,0,6874.675582553895,7258.064280876172,7828.856158572494,26.61931076317713,-2.7575840353823367,-293.6988186174549,-179.78237253568454,-113.91644608177036,0.0168790343369,27.19241259125077,0,0.0,27.842709155644084,11.632726170173612,39.2820315919831,1
2008-05-06,6211.727539,6238.727225,5974.030597,6151.278535,0,6811.537673644,7217.031467469264,7796.833809670068,30.306312339692184,3.6870015765150574,-308.8272777223392,-205.59135357301548,-103.23592414932372,0.1110701187713567,27.695823442776657,0,0.0,29.93117402171598,10.708039484237313,39.1910434150068,0
2008-06-06,6139.978516,6308.626948,6113.779113,6205.477755,0,6747.579658630286,7174.794096823411,7764.024793953828,29.153145666375263,-1.1531666733169177,-322.8842286823219,-229.0499285948768,-93.83430008744511,0.1204692687734755,28.77307935541579,0,0.0,31.38418321476869,12.199868709493384,36.86781274898501,0
2008-09-06,5949.130859,5987.680215,5802.932368,5960.83043,0,6671.536915808354,7126.728871810728,7728.086300192366,26.28784918365122,-2.865296482724048,-345.4422315178372,-252.3283891794689,-93.11384233836829,0.0842672316674677,30.87476185939951,0,0.0,33.34392330869564,10.986624433237354,42.37311190991839,0
2008-10-06,5814.282715,5949.531147,5702.433913,5910.23131,0,6589.893658588511,7075.260395073053,7690.189199495488,24.458656067423163,-1.8291931162280548,-369.9363337562872,-275.8499780948326,-94.08635566145466,0.0802095450051435,33.003497607344144,0,0.0,35.32977215483329,10.186801014201729,42.24924394362687,1
2008-11-06,5971.180664,5988.53056,5853.682028,5857.481789,0,6530.968611484844,7031.963150717247,7656.149426515379,30.51682186787141,6.058165800448251,-372.39499531910405,-295.15898153968686,-77.23601377941719,0.185469325682053,33.774259005849345,0,0.0,36.90841411906281,10.825678683021945,40.03582880474798,1
2008-12-06,5999.280273,6024.029985,5703.033721,5796.582437,0,6480.33162686724,6991.46578296363,7623.340136346757,31.575192369433097,1.0583705015616829,-367.8359152521453,-309.6943682821786,-58.14154696996667,0.2264800445716853,34.01115728556231,0,0.0,38.64038782479479,9.80644710620074,40.6850507780088,0
2008-06-13,5993.080078,6092.228825,5962.380729,5976.43037,0,6433.926717451312,6952.313402376821,7591.057758953751,31.461318330597933,-0.1138740388351635,-360.5667265928232,-319.8688399443075,-40.69788664851569,0.2466184269201505,32.941915258264046,0,0.0,39.7776334256015,11.4893824780912,39.08211512561097,1
2008-06-16,6127.678711,6171.728003,6030.529939,6030.529939,0,6404.760240646425,6919.97478702871,7562.079956023974,36.79073236896557,5.329414038367631,-340.02525789856463,-323.90012353515897,-16.125134363405664,0.3257798460657999,29.78277847458073,0,0.0,40.29425225949903,13.31012513882292,36.9265223999758,1
