Date,Close,High,Low,Open,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di,label
2008-05-29,16316.25977,16666.0293,16196.01953,16666.0293,20000,16768.014980740776,16829.332031444228,17379.698403302482,41.702225346365225,-3.238252159436591,-57.0257281251761,68.58522668048057,-125.61095480565668,0.0852951929434931,9.551867318385684,-102500,-20000.0,17.25487390129793,19.424647766615777,26.73212268081853,1
2008-05-30,16415.57031,16540.49023,16314.99023,16454.0293,18400,16734.44882162261,16813.10608158367,17360.606757890553,43.774341354789456,2.0721160084242314,-76.10119922848025,39.64794149868841,-115.74914072716868,0.1829467625001557,9.866243414830468,-84100,18400.0,17.153229994944102,18.52167716086943,25.48945813935541,0
2008-02-06,16063.17969,16632.7207,15991.20996,16591.46094,17600,16670.518428134743,16783.697203482352,17334.915132783808,38.5397300698124,-5.234611284977056,-118.29005141222297,8.060342916506137,-126.3503943287291,0.0334004216241966,10.23538378516026,-101700,-17600.0,17.90289199246319,16.212708195829514,28.603799378300906,0
2008-03-06,15962.55957,15985.40039,15709.50977,15851.71973,20200,16603.093774979054,16751.495727659516,17307.739775104917,37.1728334872518,-1.3668965825605994,-158.0226368962176,-25.15625304603861,-132.86638385017898,0.0386348620006659,10.71101810136624,-121900,-20200.0,19.199787621460192,15.095428019783064,32.12163059661206,0
2008-04-06,15514.79004,15992.90039,15442.33984,15992.90039,23800,16499.445800219146,16702.99746539836,17272.235819954323,31.772370466882847,-5.400463020368953,-223.07083433357548,-64.73916930354599,-158.33166503002948,-0.0827289966888909,12.174016715718317,-145700,-23800.0,20.888780924011087,13.53205720457641,33.820655540322,1
2008-05-06,15769.71973,15814.7998,15314.01953,15479.65039,28600,16429.948079245896,16666.398338519994,17242.483026093843,37.35268120202003,5.580310735137182,-251.15613244736412,-102.02256193230964,-149.13357051505452,0.0941040685430728,12.61825165008087,-117100,28600.0,22.66958230132019,12.285698044046034,33.06571609709372,0
2008-06-06,15572.17969,15970.7002,15526.5,15914.41016,19600,16348.255851698668,16623.487803283915,17209.40771250783,34.96615924543582,-2.386521956584211,-286.05628507272377,-138.82930656039247,-147.2269785123313,0.0654903951319781,13.539645280698526,-136700,-19600.0,23.65920341427061,14.130379980147012,30.391775920713176,0
2008-09-06,15066.09961,15202.74023,14846.17969,15115.96973,24400,16226.145733441652,16562.413756488466,17166.965967903714,29.72615970342359,-5.239999542012228,-350.51086932253384,-181.1656191128208,-169.34525020971307,-0.0421896195582098,15.639673484810936,-161100,-24400.0,25.623320897101017,12.36971757019903,38.28105785166129,0
2008-10-06,14889.25,15088.03027,14645.30957,14979.95996,26400,16098.822330256731,16496.799491528134,17121.86268141057,28.139204456795056,-1.5869552466285342,-411.12271055161546,-227.15703740057967,-183.96567315103573,-0.0109393075278742,17.632347534463374,-187500,-26400.0,27.685406048873137,11.434092512573976,38.8173859664692,1
2008-11-06,15185.32031,15225.80957,15009.48047,15018.67969,34600,16011.82213785133,16445.368935389775,17083.51530771927,34.44854069532968,6.309336238534627,-430.3073168644114,-267.78709329334606,-162.52022357106534,0.1377297229181587,18.641024561616007,-152900,34600.0,29.070246274914663,13.154528815384126,36.55382749424078,1
2008-12-06,15250.2002,15270.84961,14748.07031,14957.53027,25000,15939.28671519882,16398.49957321763,17047.21203825948,35.779201253909335,1.3306605585796518,-435.2586004785462,-301.28139473038607,-133.97720574816017,0.193379557896336,19.09579704629356,-127900,25000.0,30.69398297073328,11.985408040072,37.74921705264691,0
2008-06-13,15189.62012,15337.09961,15135.80957,15327.09961,20200,15867.889896608458,16351.092535836546,17010.428039878105,35.06347928314037,-0.7157219707689677,-439.0101982904325,-328.8271554423954,-110.18304284803712,0.201840372233574,18.77721400227677,-148100,-20200.0,31.94359332740224,12.729229412908536,36.40749229261717,1
2008-06-16,15395.82031,15553.37012,15340.33984,15400.57031,15200,15822.930888360032,16313.630879921388,16978.45560958349,39.49971896376311,4.436239680622741,-420.4975010970047,-347.16122457331727,-73.33627652368745,0.2891599937357798,17.581805570447713,-132900,15200.0,32.28644581379604,15.752227854368062,34.05209221097794,1
2008-06-17,15696.90039,15732.75,15358.75,15388.36035,18200,15810.927983754316,16289.445370512703,16953.078278502628,45.36848597021213,5.868767006449026,-377.1834726850957,-353.165674195673,-24.01779848942272,0.4166033884356072,16.197631849276174,-114700,18200.0,31.974477417706964,17.90538162665595,31.77582110885433,0
2008-06-18,15422.30957,15789.62012,15390.21973,15744.20996,22000,15773.916706253904,16255.440045002404,16922.766026849113,41.42201118569096,-3.946474784521179,-360.8542739841978,-354.703394153378,-6.150879830819804,0.3266428568940582,14.529380348220972,-136700,-22000.0,31.487810371250983,17.643630951526138,29.50735627868153,0
2008-06-19,15087.99023,15259.36035,15051.66016,15250.46973,18600,15708.590375182104,16209.657699316034,16886.433832852097,37.18129044061493,-4.240720745076025,-370.6177918796839,-357.8862736986392,-12.731518181044692,0.2019320610239174,13.68976724186057,-155300,-18600.0,31.685033536066545,16.468645064713076,33.62528112257947,0
2008-06-20,14571.29004,15194.73047,14520.87988,15194.73047,26000,15600.276057545712,16145.407987185994,16840.58940131047,31.76801233224542,-5.413278108369511,-415.2619559074337,-369.3614101403981,-45.90054576703562,0.021668199965893,14.110016781444108,-181300,-26000.0,32.66722372837982,14.56905050537538,38.83234747222457,0
2008-06-23,14293.32031,14509.69043,14163.4502,14423.0498,24600,15475.804081588978,16072.777097884582,16790.14842920531,29.296854720452306,-2.4711576117931173,-467.6814707906288,-389.02542227044427,-78.65604852018447,-0.0153402218736813,15.373635799189517,-205900,-24600.0,34.007326789887024,13.550311260209046,42.24519736082624,0
2008-06-24,14106.58008,14432.90039,13991.30957,14290.16016,24800,15345.40179572336,15995.671332477345,16737.008461894315,27.73594277816053,-1.5609119422917672,-518.317844436544,-414.88390670366425,-103.43393773287973,-0.0069099790161707,16.741202165561532,-230700,-24800.0,35.43869123723407,12.528771339052415,41.99918407678669,1
2008-06-25,14220.07031,14247.16016,13736.00977,13776.20996,23000,15238.22736851161,15926.039919831172,16687.168102450865,30.17094217713165,2.434999398971115,-543.0301092082846,-440.51314720458834,-102.51696200369622,0.0799109421935037,16.79413422974183,-207700,23000.0,37.027969910279545,11.452504665477894,42.68185476820637,1
