Date,Close,High,Low,Open,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di
2008-06-12,15250.2001953125,15270.849609375,14748.0703125,14957.5302734375,25000,15939.286714092012,16398.499572271092,17047.212037636127,35.77920118558808,1.3306604102373711,-435.25860056861893,-301.2813947426977,-133.9772058259212,0.19337955674382717,19.095797049938433,-127900,25000.0,30.69398328598357,11.985407822343888,37.7492170091326
2008-06-13,15189.6201171875,15337.099609375,15135.8095703125,15327.099609375,20200,15867.889895339202,16351.092534816835,17010.4280392114,35.063479237528554,-0.7157219480595245,-439.0101985050351,-328.8271554951652,-110.18304300986989,0.20184037168909985,18.777214001707478,-148100,-20200.0,31.943593662162545,12.729229205158928,36.40749225643729
2008-06-16,15395.8203125,15553.3701171875,15340.33984375,15400.5703125,15200,15822.930887449755,16313.630879039705,16978.45560897949,39.499719032427656,4.436239794899102,-420.4975009829395,-347.16122459272003,-73.3362763902195,0.2891599948767276,17.581805554383738,-132900,15200.0,32.286446167052766,15.752227622124659,34.05209217638142
2008-06-17,15696.900390625,15732.75,15358.75,15388.3603515625,18200,15810.927982990255,16289.44536969011,16953.078277922967,45.36848599546911,5.868766963041452,-377.1834724643977,-353.1656741670556,-24.017798297342097,0.4166033890337544,16.197631833557438,-114700,18200.0,31.97447777280817,17.905381460852357,31.77582107588752
2008-06-18,15422.3095703125,15789.6201171875,15390.2197265625,15744.2099609375,22000,15773.916705592374,16255.44004422432,16922.766026287118,41.422011204772225,-3.9464747906968825,-360.85427370739853,-354.7033940751242,-6.150879632274325,0.3266428572929512,14.529380336937436,-136700,-22000.0,31.487810736183928,17.643630745244042,29.50735624413981
2008-06-19,15087.990234375,15259.3603515625,15051.66015625,15250.4697265625,18600,15708.590375000242,16209.657698740033,16886.433832387866,37.18129050449278,-4.2407207002794465,-370.6177912380135,-357.8862735077021,-12.731517730311452,0.201932063059987,13.689767232471914,-155300,-18600.0,31.685033909389453,16.468644859964613,33.62528107205058
2008-06-20,14571.2900390625,15194.73046875,14520.8798828125,15194.73046875,26000,15600.276057291885,16145.407986595816,16840.589400836867,31.76801233405459,-5.41327817043819,-415.26195541099696,-369.36140988836104,-45.90054552263592,0.021668199738708847,14.11001678397145,-181300,-26000.0,32.667224098430935,14.569050335339961,38.832347339549806
2008-06-23,14293.3203125,14509.6904296875,14163.4501953125,14423.0498046875,24600,15475.80408159742,16072.777097415588,16790.14842879059,29.296854751519092,-2.471157582535497,-467.6814701394196,-389.0254219385728,-78.65604820084684,-0.015340220957959548,15.373635793637547,-205900,-24600.0,34.007327164557765,13.550311093173597,42.24519733945141
2008-06-24,14106.580078125,14432.900390625,13991.3095703125,14290.16015625,24800,15345.401795552429,15995.671331953212,16737.008461450678,27.735942772256692,-1.5609119792624,-518.3178440204974,-414.88390635495773,-103.4339376655397,-0.00690997980554861,16.741202158546457,-230700,-24800.0,35.438691609897,12.528771184383716,41.999183969528886
2008-06-25,14220.0703125,14247.16015625,13736.009765625,13776.2099609375,23000,15238.227368595055,15926.039919425635,16687.168102065516,30.170942260241617,2.434999487984925,-543.0301086322197,-440.51314681041015,-102.51696182180956,0.0799109428791495,16.79413421350951,-207700,23000.0,37.02797028454823,11.452504523371571,42.68185474415342
